NOM,CODE_INSEE,Adhesion,Coeur,RI
Aignay-le-Duc,21004,oui,,
Aisey-sur-Seine,21006,oui,oui,
Ampilly-le-Sec,21012,oui,,
Avot,21041,oui,,
Beaulieu,21052,oui,oui,
Beaunotte,21055,oui,,
Belan-sur-Ource,21058,oui,,
Beneuvre,21063,oui,,
Bissey-la-Cote,21077,oui,,
Boudreville,21090,oui,oui,
Bremur-et-Vaurois,21104,oui,,
Brion-sur-Ource,21109,oui,,
Buncey,21115,oui,oui,
Bure-les-Templiers,21116,oui,,
Bussieres,21119,oui,,
Chambain,21129,oui,oui,
Chamesson,21134,oui,oui,
Chatillon-sur-Seine,21154,oui,oui,
Chaugey,21157,oui,,
La Chaume,21159,oui,oui,
Chaumont-le-Bois,21161,oui,,
Chemin-d'Aisey,21165,oui,,
Courban,21202,oui,,
Courlon,21207,oui,,
Echalot,21237,oui,,
Essarois,21250,oui,oui,
Etalante,21253,oui,,
Etrochey,21258,non,,
Faverolles-les-Lucey,21262,oui,oui,
Les Goulles,21303,oui,oui,
Grancey-le-Chateau-Neuvelle,21304,oui,,
Gurgy-la-Ville,21312,oui,oui,
Leuglay,21346,oui,oui,
Lignerolles,21350,oui,oui,
Louesme,21357,oui,oui,
Lucey,21359,oui,oui,
Maisey-le-Duc,21372,oui,oui,
Menesble,21402,oui,,
Minot,21415,oui,,
Moitron,21418,oui,oui,
Montigny-sur-Aube,21432,oui,,
Montmoyen,21438,oui,oui,
Prusly-sur-Ource,21510,oui,,
Recey-sur-Ource,21519,oui,oui,
Rochefort-sur-Brevon,21526,oui,oui,
Saint-Broing-les-Moines,21543,oui,oui,
Sainte-Colombe-sur-Seine,21545,oui,,
Saint-Germain-le-Rocheux,21549,oui,oui,
Salives,21579,oui,,
Semond,21602,oui,,
Thoires,21628,oui,,
Vanvey,21655,oui,oui,
Veuxhaulles-sur-Aube,21674,oui,oui,
Villiers-le-Duc,21704,oui,oui,
Villotte-sur-Ource,21706,oui,,
Vix,21711,oui,,
Voulaines-les-Templiers,21717,oui,oui,
Barjon,21049,non,,
Busseaut,21117,non,oui,
Busserotte-et-Montenaille,21118,non,,
Buxerolles,21123,non,,
Cussey-les-Forges,21220,non,,
Fraignot-et-Vesvrotte,21283,non,,
Gevrolles,21296,non,,
Gurgy-le-Chateau,21313,non,oui,
Mauvilly,21396,non,,
Le Meix,21400,non,,
Meulson,21410,non,,
Nod-sur-Seine,21455,non,oui,
Riel-les-Eaux,21524,non,,
Terrefondree,21626,non,oui,
